LBP_P,LBP_R,RF_Trees,RF_Depth,Accuracy(%),Recall_Grasserie(%),Precision_Grasserie(%),F1_Grasserie(%),Recall_Healthy(%)
8,1,50,10,84.02,98.48,76.92,86.38,68.67
8,1,30,10,83.24,97.73,76.33,85.71,67.87
8,1,100,10,83.24,97.35,76.49,85.67,68.27
8,1,75,10,82.85,97.35,76.04,85.38,67.47
16,2,30,10,87.91,96.97,82.58,89.2,78.31
16,2,75,10,87.91,96.97,82.58,89.2,78.31
24,3,30,10,87.91,96.97,82.58,89.2,78.31
16,2,50,10,88.3,96.59,83.33,89.47,79.52
24,3,50,10,87.72,96.59,82.52,89.01,78.31
24,3,75,10,87.52,96.59,82.26,88.85,77.91
24,3,100,10,87.52,96.59,82.26,88.85,77.91
16,2,100,10,87.33,96.59,81.99,88.7,77.51
16,2,100,15,90.25,95.08,87.15,90.94,85.14
8,1,30,15,87.13,95.08,82.57,88.38,78.71
8,1,75,15,86.55,94.7,81.97,87.87,77.91
16,2,50,15,90.06,94.32,87.37,90.71,85.54
16,2,30,20,89.86,94.32,87.06,90.55,85.14
16,2,75,15,89.86,94.32,87.06,90.55,85.14
24,3,50,15,88.69,94.32,85.27,89.57,82.73
8,1,50,20,87.91,94.32,84.12,88.93,81.12
8,1,75,20,87.72,94.32,83.84,88.77,80.72
8,1,100,20,87.72,94.32,83.84,88.77,80.72
8,1,100,15,86.55,94.32,82.18,87.83,78.31
16,2,100,20,90.25,93.94,87.94,90.84,86.35
16,2,50,20,89.86,93.94,87.32,90.51,85.54
16,2,75,20,89.86,93.94,87.32,90.51,85.54
24,3,30,20,89.67,93.94,87.02,90.35,85.14
16,2,30,15,89.28,93.94,86.41,90.02,84.34
8,1,30,20,87.91,93.94,84.35,88.89,81.53
8,1,50,15,86.55,93.94,82.39,87.79,78.71
24,3,50,20,88.89,93.56,86.06,89.66,83.94
24,3,75,15,88.11,93.56,84.88,89.01,82.33
24,3,100,20,88.5,93.18,85.71,89.29,83.53
24,3,30,15,88.3,93.18,85.42,89.13,83.13
24,3,100,15,87.91,93.18,84.83,88.81,82.33
24,3,75,20,88.11,92.42,85.61,88.89,83.53
